TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,G_1,G_2,G_3,G_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20080101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.542630416666667e-09,0.0,4.479600833333334e-07,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,180.83877083333329,-9999,-9999,-9999,0.0,-9999,101.58270833333334,-37.54972916666667,0.0,3.5375833333333326,-5.081756291726101,0.010498540547076385,94.21572100838495,3.0
20080102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.437636916666665e-12,0.0,1.6195476250000005e-09,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,178.88918749999996,-9999,-9999,-9999,0.0,-9999,101.4916875,-39.5626875,0.0,2.4780208333333325,-5.246383326723593,0.04033986855579893,105.62392538616069,3.0
20080103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.309638490531252e-13,0.0,1.7981184080625e-10,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,176.21300000000008,-9999,-9999,-9999,0.0,-9999,101.29102083333336,-40.60174999999999,0.0,1.2723958333333338,-5.312142748021474,0.05369545874392317,100.38341836592684,3.0
20080104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.425488582006872e-18,0.0,1.574244238437501e-14,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,171.56227083333332,-9999,-9999,-9999,0.0,-9999,100.85554166666662,-41.9931875,0.0,2.4908749999999995,-5.396039857969549,0.06871130843709193,113.85120083715582,3.0
20080105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.219825924341387e-22,0.0,5.428642120385916e-18,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,171.51414583333334,-9999,-9999,-9999,0.0,-9999,100.607875,-42.84858333333335,0.0,2.8179999999999987,-5.432398273804162,0.06484393263670908,116.55921950384729,3.0
20080106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.156804960979073e-27,0.0,1.3582521271147494e-22,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,172.7726875,-9999,-9999,-9999,0.0,-9999,101.09706250000004,-43.43445833333334,0.0,2.093104166666666,-5.445485134732358,0.056410286513104924,109.79853568360744,3.0
20080107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4278976143854734e-05,0.0,0.00020009090706281648,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,210.26927083333328,-9999,-9999,-9999,0.0,-9999,101.7249375,-38.41289583333333,0.836,2.1315416666666667,-5.030991411274526,0.0007621522101836463,101.193850956414,3.0
20080108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0015122014583333337,0.0,0.012530237499999994,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,232.72345833333338,-9999,-9999,-9999,0.0,-9999,101.23602083333334,-26.48602083333333,0.3440000000000001,2.903645833333333,-3.6508946325764193,-0.16053681614077772,102.55230137863572,3.0
20080109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0017331313958333329,0.0,0.013295230833333331,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,229.45791666666665,-9999,-9999,-9999,0.0,-9999,101.48783333333334,-27.248312500000008,0.5760000000000001,1.9519375000000003,-3.7583538750507706,-0.1513533097959479,91.96105980333428,3.0
20080110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2281947916666667e-05,0.0,0.00023073858333333346,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,217.94947916666646,-9999,-9999,-9999,0.0,-9999,102.43212499999998,-32.88887500000001,0.158,2.1264166666666666,-4.582075289819753,-0.08666416918134763,88.85133787351977,3.0
