TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.6360134042553192,0.0,0.10605706382978726,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,273.30976595744664,-9999,-9999,0.7735744680851064,-9999,95.584,-7.376510638297873,0.18800000000000006,8.152531914893618,14.803057842108785,-0.4165379745375536,15.951241270188811,3.0
20120102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.7654270833333334,0.0,0.14001375,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,280.91825000000017,-9999,-9999,0.9384375000000004,-9999,95.45872916666666,-5.302625,0.168,9.818124999999998,14.715267145733595,-0.2483093688456394,17.44309700943948,3.0
20120103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.7240145833333332,0.0,0.12848124999999996,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,275.7299375000002,-9999,-9999,0.7944791666666666,-9999,94.94514583333334,-5.9318333333333335,0.3980000000000001,10.421208333333338,14.499947824934607,-0.33518365021154795,18.047372551990364,3.0
20120104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.7722874999999997,0.0,0.14219604166666666,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,267.1084375,-9999,-9999,0.6750416666666667,-9999,94.41841666666666,-5.2103125,0.027999999999999997,6.642416666666667,14.639550661833468,-0.2304277009700074,15.108566626057026,3.0
20120105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.434186875,0.0,0.05915641666666668,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,243.36175000000014,-9999,-9999,0.5558124999999999,-9999,94.03358333333334,-10.991520833333334,0.28400000000000003,4.1226875,15.925743193631682,-0.5490716913760613,11.815543975199807,3.0
20120106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.4075975,0.0,0.053387145833333344,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,240.60562499999992,-9999,-9999,0.5555,-9999,95.04664583333332,-11.498854166666668,0.3740000000000001,2.287375,16.153958782288893,-0.5666536562301453,9.314380364439165,3.0
20120107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.4759893750000002,0.0,0.06745939583333332,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,235.4196875,-9999,-9999,0.5576875,-9999,95.33058333333332,-10.136874999999998,0.151,1.3553958333333334,16.25551698432519,-0.6234368783677708,10.768648203152368,3.0
20120108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.5271206250000001,0.0,0.07869620833333332,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,206.71243749999985,-9999,-9999,0.6394166666666664,-9999,96.27583333333332,-9.181854166666668,0.05,1.7384791666666668,16.501690232606002,-0.7342984827978191,9.615073019441082,3.0
20120109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.2336625,0.0,0.02453128958333334,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,202.78543750000009,-9999,-9999,0.3572708333333334,-9999,96.82022916666668,-15.881041666666668,0.07400000000000001,3.0206041666666668,15.375487355706928,-1.3488723565237153,6.050960649981554,3.0
20120110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,0.17929666666666666,0.0,0.0160817,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,226.89625000000007,-9999,-9999,0.3802083333333333,-9999,95.89452083333336,-17.423249999999996,0.502,4.585854166666667,15.076745721762117,-1.5484592191504154,4.532824855760012,3.0
