TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,D_SNOW,TS_1,TS_2,TS_3,G_1,SWC_1,SWC_2,SWC_3,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20130101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15036340425531913,0.0,0.000779644255319149,-9999,-9999,-9999,-9999,-9999,-9999,0.0,221.05804255319146,-9999,-9999,-9999,0.10095744680851064,-9999,101.2330425531915,-21.231914893617027,0.5490000000000002,-9999,8.684276595744683,0.5274240242533219,0.08235504820686165,9.139602333404687,3.0
20130102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15272687499999998,0.0,0.0008310827083333337,-9999,-9999,-9999,-9999,-9999,-9999,0.0,216.20535416666678,-9999,-9999,-9999,0.08037500000000003,-9999,100.45945833333332,-21.134083333333336,0.9270000000000006,-9999,6.525729166666667,0.5316441057229964,0.08249150937960469,6.714540947656349,3.0
20130103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.18531729166666666,0.0,0.0018642139583333337,-9999,-9999,-9999,-9999,-9999,-9999,0.0,233.1235208333334,-9999,-9999,-9999,0.10108333333333336,-9999,100.70024999999997,-19.874979166666666,0.9840000000000001,-9999,5.8252291666666665,0.5576202481972619,0.08403103722577232,6.914968473645889,3.0
20130104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2461377083333333,0.0,0.004748041666666667,-9999,-9999,-9999,-9999,-9999,-9999,0.0,212.19627083333327,-9999,-9999,-9999,0.120125,-9999,101.02179166666664,-17.6744375,0.0,-9999,7.769187499999995,0.6052650102649499,0.08667379097063986,8.249242122080027,3.0
20130105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.192724375,0.0,0.001954489583333333,-9999,-9999,-9999,-9999,-9999,-9999,0.0,192.7134166666665,-9999,-9999,-9999,0.06624999999999999,-9999,101.29899999999998,-19.561166666666672,0.06599999999999999,-9999,9.276354166666668,0.5776944653973674,0.08431826261383897,12.563225808041699,3.0
20130106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1129513333333333,0.0,0.0003689077708333333,-9999,-9999,-9999,-9999,-9999,-9999,0.0,154.44485416666666,-9999,-9999,-9999,0.06445833333333333,-9999,101.3078125,-23.01610416666667,0.0,-9999,8.040125000000002,0.5655661246011864,0.07927429187479712,10.372666019647461,3.0
20130107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.100569625,0.0,0.00022348425,-9999,-9999,-9999,-9999,-9999,-9999,0.0,178.43008333333327,-9999,-9999,-9999,0.019375000000000014,-9999,101.09954166666664,-23.610208333333336,0.2490000000000001,-9999,4.43925,0.5755795112794185,0.07658620484760889,6.931928504622407,3.0
20130108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.10496929166666667,0.0,0.00020646741666666664,-9999,-9999,-9999,-9999,-9999,-9999,0.0,175.45964583333344,-9999,-9999,-9999,0.03135416666666668,-9999,101.67370833333337,-23.308125,0.12900000000000006,-9999,1.3966875,0.5806088134680435,0.0747349014004821,6.709858962764366,3.0
20130109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03677653333333333,0.0,1.8198024979166658e-05,-9999,-9999,-9999,-9999,-9999,-9999,0.0,150.65974999999997,-9999,-9999,-9999,0.008520833333333333,-9999,102.14314583333334,-28.287625,0.0,-9999,2.557395833333333,0.6267447909830758,0.05938144541228337,8.923183061934056,3.0
20130110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.027265083333333332,0.0,1.7307714583333331e-06,-9999,-9999,-9999,-9999,-9999,-9999,0.0,143.1358958333334,-9999,-9999,-9999,0.0,-9999,101.96824999999995,-28.80008333333333,0.0,-9999,4.915770833333333,0.639365889906471,0.058180385735642215,8.474794589379147,3.0
